EventID,Time_UTC,Lat,Lon,Depth_km,MagType,Mag,Region
20260608_0000220,2026-06-08T09:56:53.0Z,4.98,125.75,22.0,m,4.1,KEPULAUAN SANGIHE, INDONESIA
20260608_0000219,2026-06-08T10:04:06.6Z,5.2307,125.2384,57.0,mb,4.6,MINDANAO, PHILIPPINES
20260608_0000224,2026-06-08T10:16:00.0Z,5.35,125.81,10.0,m,4.3,MINDANAO, PHILIPPINES
20260608_0000231,2026-06-08T10:26:32.0Z,5.34,125.04,42.0,m,4.3,MINDANAO, PHILIPPINES
20260608_0000234,2026-06-08T10:37:06.0Z,5.19,125.08,32.0,m,3.4,MINDANAO, PHILIPPINES
20260608_0000237,2026-06-08T10:57:59.0Z,5.54,126.53,94.0,m,3.9,MINDANAO, PHILIPPINES
20260608_0000235,2026-06-08T11:01:45.0Z,5.33,125.4,28.0,m,3.9,MINDANAO, PHILIPPINES
20260608_0000240,2026-06-08T11:12:24.0Z,5.56,125.75,10.0,m,4.0,MINDANAO, PHILIPPINES
20260608_0000241,2026-06-08T11:19:25.0Z,5.23,125.46,32.0,m,3.5,MINDANAO, PHILIPPINES
20260608_0000244,2026-06-08T11:22:30.19Z,5.5725,125.2016,57.0,mb,5.5,MINDANAO, PHILIPPINES
20260608_0000248,2026-06-08T11:29:19.0Z,4.22,125.8,9.0,m,3.6,KEPULAUAN SANGIHE, INDONESIA
20260608_0000252,2026-06-08T11:36:55.0Z,5.14,125.46,29.0,m,4.2,MINDANAO, PHILIPPINES
20260608_0000251,2026-06-08T11:45:55.0Z,5.54,125.51,10.0,m,3.2,MINDANAO, PHILIPPINES
20260608_0000257,2026-06-08T11:50:52.0Z,5.27,125.54,10.0,m,3.8,MINDANAO, PHILIPPINES
20260608_0000259,2026-06-08T11:54:14.0Z,4.79,125.52,10.0,m,4.0,KEPULAUAN SANGIHE, INDONESIA
20260608_0000262,2026-06-08T11:59:49.0Z,5.31,125.44,11.0,m,4.2,MINDANAO, PHILIPPINES
20260608_0000267,2026-06-08T12:10:48.0Z,5.35,125.35,10.0,m,4.0,MINDANAO, PHILIPPINES
20260608_0000270,2026-06-08T12:21:57.0Z,5.53,125.33,28.0,m,3.2,MINDANAO, PHILIPPINES
20260608_0000273,2026-06-08T12:27:40.0Z,5.39,125.29,24.0,m,3.6,MINDANAO, PHILIPPINES
20260608_0000275,2026-06-08T12:41:30.0Z,5.91,125.38,13.0,m,4.1,MINDANAO, PHILIPPINES
20260608_0000369,2026-06-08T12:44:22.315Z,5.3961,125.2013,85.7,mb,4.4,MINDANAO, PHILIPPINES
20260608_0000281,2026-06-08T12:48:16.0Z,5.82,125.36,9.0,m,3.2,MINDANAO, PHILIPPINES
20260608_0000278,2026-06-08T12:52:25.0Z,5.27,125.05,10.0,m,3.6,MINDANAO, PHILIPPINES
20260608_0000279,2026-06-08T12:56:13.0Z,5.42,125.36,10.0,m,4.0,MINDANAO, PHILIPPINES
20260608_0000285,2026-06-08T13:05:31.0Z,4.63,125.18,25.0,m,4.2,KEPULAUAN SANGIHE, INDONESIA
20260608_0000284,2026-06-08T13:09:28.0Z,5.34,124.99,4.0,m,3.2,MINDANAO, PHILIPPINES
20260608_0000283,2026-06-08T13:14:51.0Z,4.96,125.46,10.0,m,3.4,KEPULAUAN SANGIHE, INDONESIA
